"ID","Lable","RansomwareFamily","API","DROP","FILES","FILES_EXT","DIR"
"10002","1","3","46","0","3","3","0"
"10003","1","2","19","0","0","0","0"
"10005","1","5","27","0","0","0","0"
"10006","1","7","96","2","17","12","6"
"10007","1","5","35","0","4","1","0"
"10008","1","6","21","0","2","2","0"
"10011","1","1","73","2","7","8","5"
"10013","1","6","14","0","0","0","0"
"10014","1","6","56","0","0","0","3"
"10019","1","4","16","0","0","0","0"
"10022","1","9","47","0","3","1","6"
"10024","1","7","45","0","5","2","0"
"10028","1","7","96","2","17","12","6"
"10029","1","6","45","0","2","2","0"
"10031","1","2","72","2","8","9","5"
"10035","1","7","14","0","0","0","0"
"10036","1","6","96","3","53","22","128"
"10037","1","7","10","0","0","0","0"
"10038","1","9","63","2","31","9","10"
"10039","1","2","25","0","0","0","0"
"10040","1","7","37","0","5","2","0"
"10042","1","9","47","0","3","1","6"
"10043","1","7","26","0","0","0","0"
"10044","1","2","15","0","0","0","0"
"10049","1","9","52","1","8","4","0"
"10050","1","2","86","2","16","9","8"
"10057","1","6","50","0","5","2","0"
"10060","1","9","47","0","3","1","6"
"10061","1","9","44","0","7","4","0"
"10064","1","3","68","0","6","4","0"
"10068","1","4","62","0","6","2","0"
"10069","1","6","29","0","0","0","0"
"10070","1","1","72","2","7","8","5"
"10078","1","11","35","0","2","2","0"
"10079","1","4","47","0","6","3","0"
"10082","1","11","53","1","8","8","0"
"10083","1","4","12","0","0","0","0"
"10085","1","3","11","0","0","0","0"
"10086","1","1","72","2","7","8","5"
"10089","1","1","72","2","7","8","5"
"10091","1","9","47","0","9","4","0"
"10097","1","5","39","0","1","0","0"
"10100","1","11","18","0","0","0","0"
"10101","1","3","17","0","0","0","0"
"10102","1","6","52","0","4","4","0"
"10104","1","9","36","0","1","1","0"
"10107","1","2","46","0","8","3","0"
"10108","1","2","37","0","1","0","0"
"10111","1","5","42","0","4","0","0"
"10112","1","9","16","0","0","0","0"
"10113","1","4","18","0","0","0","0"
"10114","1","7","96","2","17","12","6"
"10115","1","9","38","0","1","1","0"
"10117","1","1","76","2","8","10","5"
"10119","1","3","50","1","5","4","0"
"10122","1","6","94","3","85","38","420"
"10123","1","2","55","0","4","4","0"
"10124","1","1","72","2","7","8","5"
"10131","1","2","42","0","5","2","0"
"10133","1","6","95","1","15","5","17"
"10134","1","3","11","0","0","0","0"
"10135","1","9","52","1","8","4","0"
"10136","1","6","73","0","6","4","0"
"10138","1","9","27","0","1","1","0"
"10140","1","4","12","0","0","0","0"
"10141","1","10","1","0","0","0","0"
"10142","1","2","25","0","0","0","0"
"10143","1","9","17","0","0","0","0"
"10145","1","6","36","0","0","0","0"
